Timestamp,Which age group do you belong to?,Gender,"How do you purchase electronic items such as mobile phones, laptops, watches, and TVs?",What factors influence your decision to purchase electronic items from e-commerce websites or offline stores? (Select all that apply),How satisfied are you with the pricing of electronic items on e-commerce websites compared to offline stores?,Which channel do you find more convenient for purchasing electronic items?,How would you rate the overall shopping experience when purchasing electronic items from e-commerce websites compared to offline stores?,How frequently do you purchase electronic gadgets online?,What type of electronic gadgets do you typically purchase online? (Select all that apply),How would you rate your overall satisfaction with the variety of electronic gadgets available on e-commerce website?,What factors influence your decision to purchase electronic gadgets online? (Select all that apply),How likely are you to recommend e-commerce website to others for purchasing electronic gadgets?,What improvements or additions would you like to see in the range of electronic gadgets offered on e-commerce website?,"On a scale of 1 to 10, how satisfied are you with the user experience (navigation, search functionality, checkout process, etc.) when browsing electronic gadgets on website?
 (1 being the lowest/worst score).
",How important are customer reviews and ratings in influencing your decision to purchase electronic gadgets online?,How often do you rely on comparison tools or features to compare different electronic gadgets before making a purchase decision?,Which payment method do you prefer when purchasing electronic gadgets online?,Which e-commerce website do you prefer the most for purchasing electronic gadgets?,During which occasions or festivals do you prefer to purchase electronic items from e-commerce websites or offline stores? (Select all that apply)
04/04/2024 19:57:57,55+ years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Trust in the brand or seller, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,About the Same,Occasionally,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers)",Satisfied,"Product reviews and ratings, Brand reputation, Product specifications and features",Likely,More products. ,8,Extremely Important,Always,Credit/Debit Card,Amazon India,Birthdays and special occasions 
04/04/2024 19:58:29,18-24 years,Female,Exclusively from offline stores,Convenience of shopping from home,About the Same,Offline Stores,Much Better on E-commerce Websites,Rarely,"Smart home devices (smart speakers, smart bulbs)",Neutral,Discounts and promotions,Neutral,"
",4,Very Important,Frequently,"Mobile Wallets (e.g., Paytm, PhonePe)",Paytm Mall,"Diwali, Christmas, Eid, New Year, Independence Day, Republic Day, Dussehra, Holi, "
04/04/2024 19:59:28,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Trust in the brand or seller, Discounts and promotions",Slightly Higher in Offline Stores,Both Equally Convenient,About the Same,Rarely,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation",Likely,NA,8,Very Important,Frequently,Cash on Delivery,Amazon India,Dussehra
04/04/2024 20:00:53,55+ years,Male,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Convenience of shopping from home, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Much Lower on E-commerce Websites,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Slightly Likely,Variety of products ,5,Moderately Important,Occasionally,Credit/Debit Card,Amazon India,Onam
04/04/2024 20:01:18,35-44 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Trust in the brand or seller, Customer service and support",Slightly Higher in Offline Stores,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Discounts and promotions",Likely,Nothing specific ,8,Very Important,Always,UPI (Unified Payments Interface),Flipkart,"Diwali, New Year"
04/04/2024 20:02:41,55+ years,Male,Exclusively from e-commerce websites,"Price competitiveness, Trust in the brand or seller",Much Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions",Neutral,.,8,Very Important,Always,Credit/Debit Card,Amazon India,Diwali
04/04/2024 20:07:40,55+ years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,Offline Stores,Slightly Better in Offline Stores,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Dissatisfied,"Price competitiveness, Product reviews and ratings, Product specifications and features, Fast and reliable delivery, Easy returns and refunds, Payment options",Slightly Likely,After sales services and better client satisfaction for after sales.,6,Very Important,Frequently,Cash on Delivery,None ,Vishu
04/04/2024 20:08:51,55+ years,Female,Exclusively from offline stores,"Trust in the brand or seller, Customer service and support",Slightly Lower on E-commerce Websites,Offline Stores,Much Better in Offline Stores,Rarely,Tablets,Dissatisfied,Discounts and promotions,Neutral,After sale service matters,5,Extremely Important,Frequently,Credit/Debit Card,Amazon India,"Independence Day, Republic Day"
04/04/2024 20:10:11,35-44 years,Male,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Convenience of shopping from home, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Tablets, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Easy returns and refunds",Likely,Day by day reliability of the on-line products are not so great. They need to earn the customers trust again for the future success.,8,Extremely Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, Christmas, New Year, Independence Day"
04/04/2024 20:13:13,18-24 years,Female,Exclusively from offline stores,"Product assortment and availability, Convenience of shopping from home, Immediate availability of the product, Trust in the brand or seller, Customer service and support",About the Same,Offline Stores,Much Better in Offline Stores,Rarely,"Wearable devices (smartwatches, fitness trackers)",Neutral,"Fast and reliable delivery, Easy returns and refunds",Neutral,None,8,Extremely Important,Occasionally,Net Banking,Flipkart,"Diwali, Christmas, New Year, Independence Day, Republic Day, Dussehra"
04/04/2024 20:15:39,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Discounts and promotions, Warranty and other details about the product is more in a physical store",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Rarely,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs), Wacom. ",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Payment options",Neutral,Comparison charts in terms of features for 2 or more products on my wishlist,6,Very Important,Always,Most of these based on situations and price of product,Amazon and flipkart equally,It depends on my necessity. If I have a necessity and a festival is nearing then I would wait for the festival 
04/04/2024 20:28:05,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Convenience of shopping from home, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Both Equally Convenient,About the Same,Occasionally,"Laptops, Wearable devices (smartwatches, fitness trackers)",Neutral,"Price competitiveness, Product reviews and ratings, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Neutral,More discounts and can include more about features ,5,Moderately Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, Independence Day"
04/04/2024 20:38:37,55+ years,Male,"Mostly from offline stores, occasionally from e-commerce websites",Ability to physically inspect and test the product,Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,Smartphones,Satisfied,"Price competitiveness, Brand reputation, Discounts and promotions",Likely,More comparisons of the products,8,Somewhat Important,Occasionally,Credit/Debit Card,Amazon India,"New Year, "
04/04/2024 20:39:40,55+ years,Male,"Mostly from offline stores, occasionally from e-commerce websites",Ability to physically inspect and test the product,About the Same,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Smartphones, Laptops",Satisfied,"Product reviews and ratings, Discounts and promotions, Easy returns and refunds",Likely,More selections,7,Very Important,Occasionally,Credit/Debit Card,Amazon India,Diwali
04/04/2024 20:43:42,55+ years,Male,Exclusively from offline stores,"Ability to physically inspect and test the product, Immediate availability of the product, Customer service and support",Slightly Higher in Offline Stores,Offline Stores,About the Same,Rarely,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Brand reputation, Discounts and promotions",Neutral,"Reliability of the e commerce site is very important. It e commerce purchase is easy  however security of the site, product reliability and the privacy in on line payments are questionable.",8,Very Important,Occasionally,Cash on Delivery,Flipkart,As per the need only
04/04/2024 21:08:53,18-24 years,Male,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Customer service and support, Discounts and promotions",About the Same,E-commerce Websites,Slightly Better in Offline Stores,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Slightly Likely,Extra freebies like in offline stores,8,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, Christmas, Eid, New Year, Dussehra"
04/04/2024 21:18:11,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Immediate availability of the product, Trust in the brand or seller",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Fast and reliable delivery",Neutral,"Warranty, and along with specifications of the product ",7,Very Important,Occasionally,UPI (Unified Payments Interface),Flipkart,"Diwali, New Year, Dussehra"
04/04/2024 21:21:46,55+ years,Male,Exclusively from e-commerce websites,Price competitiveness,Much Lower on E-commerce Websites,Both Equally Convenient,About the Same,Rarely,Laptops,Neutral,Price competitiveness,Not Likely at All,Nil,7,Moderately Important,Occasionally,Credit/Debit Card,Flipkart,Christmas
04/04/2024 21:32:12,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Very Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Neutral,offering more sustainable options and more legitimate reviews,9,Very Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year"
04/04/2024 21:36:37,18-24 years,Female,Exclusively from offline stores,"Ability to physically inspect and test the product, Immediate availability of the product",Slightly Lower on E-commerce Websites,Offline Stores,Much Better in Offline Stores,Rarely,"Audio/Visual equipment (headphones, speakers, TVs)",Neutral,Price competitiveness,Slightly Likely,Should be trustworthy ,1,Extremely Important,Always,Cash on Delivery,Amazon India,Diwali
04/04/2024 21:51:18,45-54 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Occasionally,"Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Product reviews and ratings, Brand reputation, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Slightly Likely,Good quality,8,Somewhat Important,Rarely,"Mobile Wallets (e.g., Paytm, PhonePe)",Amazon India,"Diwali, Dussehra"
04/04/2024 22:07:04,18-24 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Customer service and support",Much Higher in Offline Stores,Offline Stores,Much Better in Offline Stores,Occasionally,"Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Discounts and promotions",Slightly Likely,The ,7,Moderately Important,Occasionally,UPI (Unified Payments Interface),Snapdeal,New Year
04/04/2024 22:10:30,25-34 years,Male,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Trust in the brand or seller",Slightly Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Very Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Discounts and promotions",Very Likely,-,9,Extremely Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, Christmas, New Year"
04/04/2024 22:26:17,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Convenience of shopping from home, Discounts and promotions, reviews and ratings",Slightly Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers)",Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Very Likely,none,8,Extremely Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Dussehra"
04/04/2024 23:13:19,35-44 years,Female,Exclusively from offline stores,Ability to physically inspect and test the product,Slightly Lower on E-commerce Websites,Offline Stores,Much Better in Offline Stores,Never,Gaming consoles,Dissatisfied,Product reviews and ratings,Not Likely at All,Not interested ,2,Somewhat Important,Rarely,Cash on Delivery,Amazon India,"New Year, "
05/04/2024 02:59:44,35-44 years,Female,Exclusively from offline stores,Trust in the brand or seller,Slightly Lower on E-commerce Websites,Offline Stores,Slightly Better in Offline Stores,Occasionally,"Wearable devices (smartwatches, fitness trackers)",Satisfied,"Discounts and promotions, Easy returns and refunds",Neutral,Easy approach,7,Extremely Important,Occasionally,Cash on Delivery,Amazon India,Diwali
05/04/2024 03:03:34,55+ years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Both Equally Convenient,About the Same,Occasionally,"Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Discounts and promotions",Likely,NA,7,Very Important,Frequently,Credit/Debit Card,Amazon India,New Year
05/04/2024 04:38:15,55+ years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Convenience of shopping from home, Immediate availability of the product, Discounts and promotions",About the Same,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery",Likely,Better comparison capabilities,7,Very Important,Always,Credit/Debit Card,Amazon,No dependency
05/04/2024 08:00:28,55+ years,Male,Exclusively from offline stores,"Ability to physically inspect and test the product, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Likely,More laptop options,8,Very Important,Occasionally,Credit/Debit Card,Amazon India,New Year
05/04/2024 08:33:50,55+ years,Male,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Much Lower on E-commerce Websites,Both Equally Convenient,Much Better in Offline Stores,Rarely,"Smartphones, Tablets, Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Very Satisfied,"Product reviews and ratings, Product specifications and features",Likely,price match,8,Very Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, New Year"
05/04/2024 08:41:39,35-44 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Convenience of shopping from home, Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support",Slightly Lower on E-commerce Websites,Offline Stores,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery",Likely,Price and customer ratings,7,Extremely Important,Occasionally,Credit/Debit Card,Amazon India,Independence Day
05/04/2024 09:29:30,18-24 years,Male,Exclusively from e-commerce websites,"Price competitiveness, Convenience of shopping from home, Ability to physically inspect and test the product, Customer service and support, Discounts and promotions",About the Same,E-commerce Websites,Slightly Better in Offline Stores,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Very Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Easy returns and refunds",Likely,none,7,Very Important,Rarely,UPI (Unified Payments Interface),Flipkart,"Diwali, Republic Day"
05/04/2024 09:30:07,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Immediate availability of the product, Customer service and support",Slightly Lower on E-commerce Websites,Both Equally Convenient,About the Same,Occasionally,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Easy returns and refunds, Payment options",Neutral,Nothing,8,Very Important,Rarely,Credit/Debit Card,Amazon India,"Diwali, New Year, Dussehra"
05/04/2024 09:30:37,18-24 years,Other,Exclusively from offline stores,"Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Offline Stores,Slightly Better in Offline Stores,Always,"Smartphones, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Dissatisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options, ",Likely,iuiiuhj;lmiyvfx;vvvyvhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvlllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhlllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllhsdiosojoddddddddddddddddddddddddddddddddddddddddddddddddddddddddddmmmmmmvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvnuvuvvvehhhhhhhhhhhhhhhhhhhhhhhhhhhhhjlilllllllllllllerrrrrrrrrrrrrrrrrrrrrrr,10,Extremely Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, Christmas, Eid, New Year, Independence Day, Republic Day, Dussehra, Holi"
05/04/2024 09:51:01,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Higher in Offline Stores,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Product reviews and ratings, Brand reputation, Fast and reliable delivery",Neutral,faster arrival and better deals,6,Moderately Important,Frequently,Net Banking,Amazon India,"Diwali, New Year, Independence Day, Republic Day"
05/04/2024 09:52:10,18-24 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Much Lower on E-commerce Websites,Offline Stores,Slightly Better in Offline Stores,Rarely,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Discounts and promotions, Fast and reliable delivery",Neutral,more options,10,Moderately Important,Occasionally,UPI (Unified Payments Interface),Amazon India,Republic Day
05/04/2024 09:52:19,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Convenience of shopping from home, Immediate availability of the product, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Frequently,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Fast and reliable delivery, Easy returns and refunds",Likely,"Better organisation of websites in terms of similar gadgets, for better comparison and options ",8,Extremely Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, Independence Day"
05/04/2024 09:53:22,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Ability to physically inspect and test the product, Customer service and support",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Product specifications and features, Easy returns and refunds",Likely,Easy to search,7,Very Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, Dussehra"
05/04/2024 09:53:40,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product",Slightly Higher in Offline Stores,Offline Stores,Slightly Better on E-commerce Websites,Rarely,Laptops,Dissatisfied,"Product reviews and ratings, Brand reputation, Product specifications and features",Slightly Likely,NA,6,Somewhat Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Christmas, Independence Day"
05/04/2024 10:03:41,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Higher in Offline Stores,Both Equally Convenient,Slightly Better in Offline Stores,Frequently,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers)",Neutral,"Price competitiveness, Brand reputation, Product specifications and features, Discounts and promotions, Easy returns and refunds, Payment options",Likely,no improvements,7,Moderately Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, Independence Day, Republic Day"
05/04/2024 10:10:22,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Both Equally Convenient,About the Same,Occasionally,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Brand reputation, Discounts and promotions, Easy returns and refunds, Payment options",Neutral,Customer care services,7,Very Important,Always,Cash on Delivery,Amazon India,"Diwali, New Year, Dussehra"
05/04/2024 10:24:02,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Higher in Offline Stores,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Neutral,fine for now,7,Moderately Important,Occasionally,UPI (Unified Payments Interface),Flipkart,"Diwali, Christmas, Eid, New Year, Independence Day, Republic Day, Dussehra, Holi"
05/04/2024 10:49:43,45-54 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Convenience of shopping from home, Immediate availability of the product",About the Same,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,"Price competitiveness, Discounts and promotions, Fast and reliable delivery, Payment options",Likely,More pictures and illustrations,8,Very Important,Frequently,Cash on Delivery,Amazon India,"Diwali, Independence Day"
05/04/2024 11:01:30,18-24 years,Female,Exclusively from e-commerce websites,"Price competitiveness, Product assortment and availability, Trust in the brand or seller, Customer service and support",About the Same,E-commerce Websites,Much Better on E-commerce Websites,Rarely,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Brand reputation, Discounts and promotions, Fast and reliable delivery",Likely, None,8,Very Important,Occasionally,UPI (Unified Payments Interface),Amazon India,Diwali
05/04/2024 11:05:38,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores",Product assortment and availability,About the Same,E-commerce Websites,About the Same,Frequently,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Neutral,Price competitiveness,Neutral,Ntg,5,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Dussehra"
